NO,부품품번,부품등급_금액,부품등급_단가,부품등급_수량,4개월금액,단가,4개월수량,입고거래처,출고거래처,단위,구 분,1/1,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,1/12,1/13,1/14,1/15,1/16,1/17,1/18,1/19,1/20,1/21,1/22,1/23,1/24,1/25,1/26,1/27,1/28,1/29,1/30,1/31,2/1,2/2,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,2/12,2/13,2/14,2/15,2/16,2/17,2/18,2/19,2/20,2/21,2/22,2/23,2/24,2/25,2/26,2/27,2/28,3/1,3/2,3/3,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,3/12,3/13,3/14,3/15,3/16,3/17,3/18,3/19,3/20,3/21,3/22,3/23,3/24,3/25,3/26,3/27,3/28,3/29,3/30,3/31,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30
2,ADL76774202,A,A,A,1714320960,77536,22110,,,EA,결품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ADL76774202,A,A,A,1714320960,77536,22110,,,EA,불량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ADL76774202,A,A,A,1714320960,77536,22110,,,EA,발주예측,,672.0,,,,,,672.0,,864.0,,,672.0,,,,,,,,480.0,,576.0,576.0,,,576.0,576.0,576.0,,288.0,,,480.0,384.0,,,,,,,,,,,,,,,,,576.0,,,,480.0,,480.0,576.0,,,480.0,480.0,,,,,,480.0,384.0,480.0,,,,,480.0,864.0,384.0,384.0,384.0,,,480.0,480.0,,384.0,384.0,,,192.0,576.0,768.0,288.0,,,,,672.0,576.0,,768.0,,,480.0,672.0,672.0,672.0,,,,,,,,,,,,,
2,ADL76774202,A,A,A,1714320960,77536,22110,,,EA,재고계획,4481.0,4031.0,4031.0,4511.0,4637.0,4097.0,4769.0,4189.0,4189.0,4189.0,4189.0,4189.0,4861.0,4284.0,5148.0,4348.0,4348.0,5020.0,4420.0,4420.0,4420.0,4420.0,4420.0,4420.0,4420.0,4900.0,4450.0,5026.0,5042.0,4482.0,4482.0,5058.0,5074.0,5090.0,4530.0,4818.0,4578.0,4578.0,5058.0,4992.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,5273.0,4713.0,4713.0,4713.0,5193.0,4743.0,5223.0,5349.0,4789.0,4789.0,5269.0,5299.0,4849.0,4849.0,4849.0,4849.0,4849.0,5329.0,5233.0,5413.0,4933.0,4933.0,4933.0,4933.0,5413.0,5797.0,5381.0,5450.0,5469.0,5109.0,5109.0,5589.0,5589.0,5109.0,5493.0,5553.0,5218.0,5218.0,5410.0,5819.0,6015.0,5603.0,5363.0,5363.0,5363.0,5363.0,6035.0,6011.0,5481.0,6249.0,5549.0,5549.0,6029.0,6251.0,6323.0,6395.0,5795.0,5795.0,5795.0,5795.0,5795.0,5795.0,5795.0,5795.0
2,ADL76774202,A,A,A,1714320960,77536,22110,,,EA,재고,4481.0,4031.0,4031.0,4511.0,4637.0,4097.0,4769.0,4189.0,4189.0,4189.0,4189.0,4189.0,4861.0,4284.0,5148.0,4348.0,4348.0,5020.0,4420.0,4420.0,4420.0,4420.0,4420.0,4420.0,4420.0,4900.0,4450.0,5026.0,5042.0,4482.0,4482.0,5058.0,5074.0,5090.0,4530.0,4818.0,4578.0,4578.0,5058.0,4992.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,4697.0,5273.0,4713.0,4713.0,4713.0,5193.0,4743.0,5223.0,5349.0,4789.0,4789.0,5269.0,5299.0,4849.0,4849.0,4849.0,4849.0,4849.0,5329.0,5233.0,5413.0,4933.0,4933.0,4933.0,4933.0,5413.0,5797.0,5381.0,5450.0,5469.0,5109.0,5109.0,5589.0,5589.0,5109.0,5493.0,5553.0,5218.0,5218.0,5410.0,5819.0,6015.0,5603.0,5363.0,5363.0,5363.0,5363.0,6035.0,6011.0,5481.0,6249.0,5549.0,5549.0,6029.0,6251.0,6323.0,6395.0,5795.0,5795.0,5795.0,5795.0,5795.0,5795.0,5795.0,5795.0
2,ADL76774202,A,A,A,1714320960,77536,22110,,,EA,안전재고,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0,3264.0
3,AKC73369912,A,A,A,1405267248,12466,112728,,,EA,입고,1040.0,,624.0,2080.0,1872.0,1040.0,832.0,1456.0,,,2496.0,2080.0,1040.0,,624.0,,,832.0,1040.0,1456.0,832.0,1456.0,,,1040.0,832.0,1456.0,2080.0,2080.0,2080.0,,1872.0,1040.0,1040.0,832.0,832.0,832.0,,1040.0,2080.0,2080.0,2080.0,1456.0,832.0,,,,,624.0,1248.0,1248.0,208.0,2080.0,1456.0,1456.0,1872.0,1456.0,,,,2080.0,1872.0,1248.0,1248.0,,,1872.0,1248.0,1040.0,624.0,1040.0,,,2080.0,2080.0,1872.0,1664.0,1872.0,,208.0,2288.0,2080.0,1456.0,1248.0,1248.0,,,1664.0,1456.0,1456.0,832.0,1456.0,,,1456.0,1664.0,1456.0,1040.0,,,,2080.0,1664.0,1456.0,1664.0,1664.0,,,1664.0,1664.0,,,,,,,,,,
3,AKC73369912,A,A,A,1405267248,12466,112728,,,EA,생산,0.0,1040.0,0.0,0.0,2704.0,1872.0,1040.0,832.0,1456.0,0.0,0.0,2080.0,2496.0,1040.0,0.0,624.0,0.0,0.0,832.0,1040.0,1456.0,832.0,1456.0,0.0,0.0,1040.0,832.0,1456.0,1872.0,2288.0,2080.0,0.0,1872.0,1040.0,1040.0,832.0,832.0,832.0,0.0,1040.0,2080.0,2080.0,2080.0,1456.0,832.0,0.0,0.0,0.0,0.0,624.0,1248.0,1248.0,0.0,2288.0,1456.0,1456.0,1872.0,1456.0,0.0,0.0,0.0,2080.0,1872.0,1248.0,1248.0,0.0,0.0,1872.0,1248.0,1040.0,624.0,1040.0,0.0,0.0,1872.0,2288.0,1872.0,1664.0,1872.0,0.0,0.0,2288.0,2288.0,1456.0,1248.0,1248.0,0.0,0.0,1664.0,1456.0,1456.0,832.0,1456.0,0.0,0.0,1456.0,1664.0,1456.0,1040.0,0.0,0.0,0.0,2080.0,1664.0,1448.0,1664.0,1664.0,0.0,0.0,1664.0,1664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AKC73369912,A,A,A,1405267248,12466,112728,,,EA,결품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AKC73369912,A,A,A,1405267248,12466,112728,,,EA,불량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
