NO,부품품번,부품등급_금액,부품등급_단가,부품등급_수량,4개월금액,단가,4개월수량,입고거래처,출고거래처,단위,구 분,1/1,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,1/12,1/13,1/14,1/15,1/16,1/17,1/18,1/19,1/20,1/21,1/22,1/23,1/24,1/25,1/26,1/27,1/28,1/29,1/30,1/31,2/1,2/2,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,2/12,2/13,2/14,2/15,2/16,2/17,2/18,2/19,2/20,2/21,2/22,2/23,2/24,2/25,2/26,2/27,2/28,3/1,3/2,3/3,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,3/12,3/13,3/14,3/15,3/16,3/17,3/18,3/19,3/20,3/21,3/22,3/23,3/24,3/25,3/26,3/27,3/28,3/29,3/30,3/31,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30
507,RAA36185110,C,C,B,5860755,2610,2246,,,KG,입고,200.0,,,200.0,200.0,400.0,200.0,400.0,,,400.0,200.0,200.0,200.0,200.0,,,200.0,400.0,200.0,200.0,,,,,200.0,200.0,400.0,200.0,,,200.0,200.0,200.0,,200.0,,,200.0,200.0,,,200.0,,,,,,200.0,200.0,,,200.0,200.0,200.0,200.0,200.0,,,,200.0,200.0,200.0,200.0,,,200.0,200.0,200.0,200.0,,,,200.0,200.0,200.0,200.0,200.0,,,200.0,200.0,200.0,200.0,200.0,,,200.0,200.0,200.0,200.0,200.0,,,200.0,200.0,200.0,200.0,,,,200.0,200.0,200.0,200.0,200.0,,,200.0,200.0,200.0,200.0,,,200.0,,,,,
507,RAA36185110,C,C,B,5860755,2610,2246,,,KG,생산,0.0,6.0,0.0,0.0,10.0,119.0,265.0,31.0,385.0,0.0,0.0,347.0,33.0,2.0,1.0,13.0,0.0,0.0,2.0,311.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,121.0,245.0,29.0,0.0,0.0,2.0,2.0,7.0,0.0,1.0,0.0,0.0,3.0,18.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,10.0,10.0,7.0,10.0,40.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,10.0,8.0,12.0,12.0,10.0,0.0,0.0,1.0,2.0,18.0,1.0,1.0,0.0,0.0,12.0,2.0,7.0,1.0,1.0,0.0,0.0,7.0,8.0,7.0,4.0,0.0,0.0,0.0,5.0,6.0,5.0,7.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
507,RAA36185110,C,C,B,5860755,2610,2246,,,KG,결품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,RAA36185110,C,C,B,5860755,2610,2246,,,KG,불량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,RAA36185110,C,C,B,5860755,2610,2246,,,KG,발주예측,,,400.0,200.0,200.0,200.0,200.0,,,200.0,400.0,200.0,200.0,,,,,200.0,200.0,400.0,200.0,,,200.0,200.0,200.0,,200.0,,,200.0,200.0,,,200.0,,,,,,200.0,200.0,,,200.0,200.0,200.0,200.0,200.0,,,,200.0,200.0,200.0,200.0,,,200.0,200.0,200.0,200.0,,,,200.0,200.0,200.0,200.0,200.0,,,200.0,200.0,200.0,200.0,200.0,,,200.0,200.0,200.0,200.0,200.0,,,200.0,200.0,200.0,200.0,,,,200.0,200.0,200.0,200.0,200.0,,,200.0,200.0,200.0,200.0,,,200.0,,,,,,,,,,,,,
507,RAA36185110,C,C,B,5860755,2610,2246,,,KG,재고계획,1331.0,1325.0,1325.0,1525.0,1714.0,1995.0,1930.0,2299.0,1914.0,1914.0,2314.0,2167.0,2334.0,2532.0,2731.0,2718.0,2718.0,2918.0,3316.0,3205.0,3402.0,3392.0,3392.0,3392.0,3392.0,3592.0,3791.0,4070.0,4025.0,3995.0,3995.0,4195.0,4393.0,4591.0,4584.0,4784.0,4784.0,4784.0,4984.0,5180.0,5162.0,5162.0,5362.0,5358.0,5358.0,5358.0,5358.0,5358.0,5558.0,5751.0,5741.0,5741.0,5941.0,6131.0,6320.0,6514.0,6704.0,6663.0,6663.0,6663.0,6863.0,7061.0,7258.0,7457.0,7455.0,7455.0,7655.0,7854.0,8053.0,8250.0,8244.0,8244.0,8244.0,8444.0,8634.0,8826.0,9014.0,9203.0,9192.0,9192.0,9392.0,9591.0,9789.0,9971.0,10170.0,10168.0,10168.0,10368.0,10557.0,10755.0,10948.0,11147.0,11146.0,11146.0,11346.0,11539.0,11730.0,11923.0,11919.0,11919.0,11919.0,12119.0,12315.0,12509.0,12704.0,12897.0,12895.0,12895.0,13095.0,13294.0,13492.0,13690.0,13689.0,13689.0,13889.0,13886.0,13886.0,13886.0,13886.0,13886.0
507,RAA36185110,C,C,B,5860755,2610,2246,,,KG,재고,1331.0,1325.0,1325.0,1525.0,1714.0,1995.0,1930.0,2299.0,1914.0,1914.0,2314.0,2167.0,2334.0,2532.0,2731.0,2718.0,2718.0,2918.0,3316.0,3205.0,3402.0,3392.0,3392.0,3392.0,3392.0,3592.0,3791.0,4070.0,4025.0,3995.0,3995.0,4195.0,4393.0,4591.0,4584.0,4784.0,4784.0,4784.0,4984.0,5180.0,5162.0,5162.0,5362.0,5358.0,5358.0,5358.0,5358.0,5358.0,5558.0,5751.0,5741.0,5741.0,5941.0,6131.0,6320.0,6514.0,6704.0,6663.0,6663.0,6663.0,6863.0,7061.0,7258.0,7457.0,7455.0,7455.0,7655.0,7854.0,8053.0,8250.0,8244.0,8244.0,8244.0,8444.0,8634.0,8826.0,9014.0,9203.0,9192.0,9192.0,9392.0,9591.0,9789.0,9971.0,10170.0,10168.0,10168.0,10368.0,10557.0,10755.0,10948.0,11147.0,11146.0,11146.0,11346.0,11539.0,11730.0,11923.0,11919.0,11919.0,11919.0,12119.0,12315.0,12509.0,12704.0,12897.0,12895.0,12895.0,13095.0,13294.0,13492.0,13690.0,13689.0,13689.0,13889.0,13886.0,13886.0,13886.0,13886.0,13886.0
507,RAA36185110,C,C,B,5860755,2610,2246,,,KG,안전재고,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
508,ADX73450639,C,C,B,5858892,2106,2782,,,EA,입고,,,,,200.0,300.0,,350.0,,,400.0,150.0,,,,,,,300.0,250.0,,,,,,,100.0,300.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,150.0,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,ADX73450639,C,C,B,5858892,2106,2782,,,EA,생산,0.0,0.0,0.0,0.0,0.0,190.0,252.0,0.0,320.0,0.0,0.0,370.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,277.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,ADX73450639,C,C,B,5858892,2106,2782,,,EA,결품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,ADX73450639,C,C,B,5858892,2106,2782,,,EA,불량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,ADX73450639,C,C,B,5858892,2106,2782,,,EA,발주예측,,,200.0,300.0,,350.0,,,400.0,150.0,,,,,,,300.0,250.0,,,,,,,100.0,300.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,150.0,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,ADX73450639,C,C,B,5858892,2106,2782,,,EA,재고계획,873.0,873.0,873.0,873.0,1073.0,1183.0,931.0,1281.0,961.0,961.0,1361.0,1141.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1320.0,1270.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1120.0,1323.0,1296.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1237.0,1109.0,1109.0,1109.0,1259.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1291.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0
508,ADX73450639,C,C,B,5858892,2106,2782,,,EA,재고,873.0,873.0,873.0,873.0,1073.0,1183.0,931.0,1281.0,961.0,961.0,1361.0,1141.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1320.0,1270.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1120.0,1323.0,1296.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1237.0,1109.0,1109.0,1109.0,1259.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1291.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0
508,ADX73450639,C,C,B,5858892,2106,2782,,,EA,안전재고,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0
509,ABN76521336,C,C,B,5829300,2550,2286,,,EA,입고,,,,36.0,,,,,,,,,252.0,,,,,288.0,,,,180.0,,,,,144.0,,36.0,,,,,,,432.0,,,,,,72.0,,,,,,,,,,,108.0,,,,468.0,,,,,,,108.0,,,,,,,,,,36.0,,,,,,,,,,,,,,,324.0,,,,,,,,,,,,,,,,,108.0,,,,,,,,,,,,,,
509,ABN76521336,C,C,B,5829300,2550,2286,,,EA,생산,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,110.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,ABN76521336,C,C,B,5829300,2550,2286,,,EA,결품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,ABN76521336,C,C,B,5829300,2550,2286,,,EA,불량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,ABN76521336,C,C,B,5829300,2550,2286,,,EA,발주예측,,,,,,252.0,,,,,288.0,,,,180.0,,,,,144.0,,36.0,,,,,,,432.0,,,,,,72.0,,,,,,,,,,,108.0,,,,468.0,,,,,,,108.0,,,,,,,,,,36.0,,,,,,,,,,,,,,,324.0,,,,,,,,,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,
509,ABN76521336,C,C,B,5829300,2550,2286,,,EA,재고계획,294.0,294.0,294.0,330.0,326.0,326.0,326.0,326.0,326.0,326.0,326.0,326.0,578.0,356.0,356.0,356.0,356.0,644.0,369.0,369.0,369.0,549.0,399.0,399.0,399.0,399.0,543.0,433.0,469.0,468.0,468.0,468.0,468.0,468.0,468.0,900.0,486.0,486.0,486.0,486.0,486.0,558.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,614.0,534.0,534.0,534.0,1002.0,544.0,544.0,544.0,544.0,544.0,544.0,652.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,588.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,892.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,702.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
509,ABN76521336,C,C,B,5829300,2550,2286,,,EA,재고,294.0,294.0,294.0,330.0,326.0,326.0,326.0,326.0,326.0,326.0,326.0,326.0,578.0,356.0,356.0,356.0,356.0,644.0,369.0,369.0,369.0,549.0,399.0,399.0,399.0,399.0,543.0,433.0,469.0,468.0,468.0,468.0,468.0,468.0,468.0,900.0,486.0,486.0,486.0,486.0,486.0,558.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,614.0,534.0,534.0,534.0,1002.0,544.0,544.0,544.0,544.0,544.0,544.0,652.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,588.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,892.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,702.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
509,ABN76521336,C,C,B,5829300,2550,2286,,,EA,안전재고,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
510,MDS63633966,C,C,B,5807743,1363,4261,,,EA,입고,,,,,400.0,300.0,,400.0,,,600.0,300.0,,,,,,100.0,300.0,500.0,,,,,,,200.0,400.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,300.0,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,
510,MDS63633966,C,C,B,5807743,1363,4261,,,EA,생산,0.0,0.0,0.0,0.0,0.0,320.0,252.0,0.0,320.0,0.0,0.0,512.0,210.0,0.0,0.0,0.0,0.0,0.0,4.0,300.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,372.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,MDS63633966,C,C,B,5807743,1363,4261,,,EA,결품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,MDS63633966,C,C,B,5807743,1363,4261,,,EA,불량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,MDS63633966,C,C,B,5807743,1363,4261,,,EA,발주예측,300.0,,400.0,,,600.0,300.0,,,,,,100.0,300.0,500.0,,,,,,,200.0,400.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,300.0,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,
510,MDS63633966,C,C,B,5807743,1363,4261,,,EA,재고계획,1942.0,1942.0,1942.0,1942.0,2342.0,2322.0,2070.0,2470.0,2150.0,2150.0,2750.0,2538.0,2328.0,2328.0,2328.0,2328.0,2328.0,2428.0,2724.0,2924.0,2424.0,2424.0,2424.0,2424.0,2424.0,2424.0,2624.0,2882.0,3010.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2899.0,2640.0,2640.0,2640.0,2940.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,3004.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2804.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2991.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0
510,MDS63633966,C,C,B,5807743,1363,4261,,,EA,재고,1942.0,1942.0,1942.0,1942.0,2342.0,2322.0,2070.0,2470.0,2150.0,2150.0,2750.0,2538.0,2328.0,2328.0,2328.0,2328.0,2328.0,2428.0,2724.0,2924.0,2424.0,2424.0,2424.0,2424.0,2424.0,2424.0,2624.0,2882.0,3010.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2899.0,2640.0,2640.0,2640.0,2940.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,3004.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2704.0,2804.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2791.0,2991.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0,2881.0
510,MDS63633966,C,C,B,5807743,1363,4261,,,EA,안전재고,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
511,MDS62152431,C,C,B,5805488,1976,2938,,,EA,입고,,,,,400.0,,,400.0,,,700.0,,,,,,,,,,,,,,,,700.0,600.0,100.0,,,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,200.0,,,,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,
511,MDS62152431,C,C,B,5805488,1976,2938,,,EA,생산,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,315.0,0.0,0.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.0,523.0,9.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
511,MDS62152431,C,C,B,5805488,1976,2938,,,EA,결품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,MDS62152431,C,C,B,5805488,1976,2938,,,EA,불량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
